objectid,oceans,measurement,lat,long,year
14147,Atlantic Ocean,0.045332,56.952833,-6.211833,2018
14073,Atlantic Ocean,0.088547,56.483667,-6.679667,2016
14196,Atlantic Ocean,0.214936,55.971667,-4.751,2018
10827,Atlantic Ocean,0.387333,41.849824,3.147244,2020
13532,Atlantic Ocean,0.094559,40.14345,3.906933,2018
10778,Atlantic Ocean,1.152667,41.403637,2.2193,2020
9831,Atlantic Ocean,0.002,39.9537,-74.1979,2015
14737,Indian Ocean,0.666667,22.396006,91.887941,2019
13077,Pacific Ocean,744.0,21.76214,113.325013,2018
11442,Atlantic Ocean,0.259965,22.8418,-62.7592,2010
11872,Atlantic Ocean,0.093004,25.5796,-37.2534,2013
9069,Atlantic Ocean,0.003,23.08,-31.0,2014
13483,Pacific Ocean,0.473899,10.562,126.789167,2017
22188,Atlantic Ocean,0.0,27.5737,-82.6868,2016
22139,Atlantic Ocean,0.0,27.729,-82.4987,2016
8737,Atlantic Ocean,0.001,15.8674,-61.5895,2014
9118,Atlantic Ocean,0.0,15.4095,-55.187,2014
9167,Atlantic Ocean,0.003,18.3575,-45.7934,2014
12015,Pacific Ocean,0.028614,-42.8448,148.4211,2012
12009,Pacific Ocean,0.092772,-37.4107,153.5144,2012
11517,Atlantic Ocean,1.554421,-32.278,-5.9515,2010
10017,Indian Ocean,0.002,-21.0531,55.2238,2017
12181,Pacific Ocean,0.66,-3.0,-86.0,2017
11256,Atlantic Ocean,0.249643,44.129778,9.608947,2018
14173,Atlantic Ocean,0.01663,57.619,-1.736833,2018
14428,Atlantic Ocean,0.341669,55.306,-5.222667,2021
14671,Arctic Ocean,0.0,74.399867,157.07205,2019
13171,Atlantic Ocean,0.461502,37.343333,-11.301667,2013
10758,Atlantic Ocean,1.834667,41.263153,1.963507,2021
9092,Atlantic Ocean,0.008,22.6762,-31.305,2014
9851,Atlantic Ocean,0.001,23.8867,-76.165,2016
14594,Atlantic Ocean,0.0,14.864849,-23.722012,2015
9353,Atlantic Ocean,0.0,17.93,-62.87,2015
13930,Atlantic Ocean,2565.0,1.420494,-48.156708,2018
10094,Pacific Ocean,101.0,8.1267,153.4173,2018
9951,Pacific Ocean,0.005,-54.4271,-69.8611,2016
9994,Pacific Ocean,0.0,-38.4693,144.0853,2016
13314,Pacific Ocean,0.011513,-27.148833,153.3505,2016
21478,Pacific Ocean,0.035978,-20.10255,148.858133,2020
9945,Pacific Ocean,0.003,-8.6525,119.7133,2016
12109,Indian Ocean,0.068163,6.5455,93.681,2013
13953,Atlantic Ocean,0.025192,60.776667,1.0885,2014
13320,Atlantic Ocean,0.009982,48.318167,-4.416,2015
13787,Atlantic Ocean,0.086865,44.923667,8.134,2021
14451,Atlantic Ocean,0.0,56.0085,-3.370667,2021
11156,Atlantic Ocean,7.151593,39.0051,17.2516,2014
10443,Atlantic Ocean,0.995025,38.031,5.324,2013
9453,Atlantic Ocean,0.001,46.3883,-63.7825,2015
13148,Atlantic Ocean,0.250374,31.288333,-25.263333,2013
10117,Atlantic Ocean,27.0,25.4296,-64.8085,2018
11966,Pacific Ocean,0.054101,-26.7152,153.3799,2012
13463,Pacific Ocean,0.036463,-1.241833,138.395167,2017
13881,Arctic Ocean,0.005401,71.3695,-55.672167,2021
14545,Arctic Ocean,21.0,88.06206,80.27812,2016
10807,Atlantic Ocean,0.675333,41.397303,2.21315,2021
11299,Atlantic Ocean,0.131303,43.2571,5.3726,2019
13389,Atlantic Ocean,0.65709,43.292667,6.6485,2016
14053,Atlantic Ocean,0.023641,57.190333,-6.803833,2015
