typeCode,freqCode,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,cmdCode,cmdDesc,isLeaf,customsDesc,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,2023,52,2023,430,LBR,Liberia,X,Export,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,8,kg,699,FALSE,8,kg,699,FALSE,699,FALSE,0,FALSE,,140,140,0,FALSE,TRUE
C,A,2023,52,2023,440,LTU,Lithuania,M,Import,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,8,kg,81911789.332,TRUE,-1,N/A,0,FALSE,81911789.332,TRUE,0,FALSE,21099061,,21099061,6,FALSE,TRUE
C,A,2023,52,2023,440,LTU,Lithuania,X,Export,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,8,kg,22419156.494,FALSE,8,kg,22419156.494,FALSE,22419156.494,FALSE,0,FALSE,,4035561,4035561,0,FALSE,TRUE
C,A,2023,52,2023,442,LUX,Luxembourg,M,Import,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,FALSE,0,FALSE,5295579.943,5290373.824,5295579.943,0,FALSE,TRUE
C,A,2023,52,2023,442,LUX,Luxembourg,X,Export,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,8,kg,9685999.438,TRUE,-1,N/A,0,FALSE,9685999.438,TRUE,0,FALSE,,3888704.459,3888704.459,6,FALSE,TRUE
C,A,2023,52,2023,450,MDG,Madagascar,M,Import,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,8,kg,323597.65,FALSE,8,kg,323597.65,FALSE,323597.65,FALSE,0,FALSE,51326.996,35511.485,51326.996,0,FALSE,TRUE
C,A,2023,52,2023,450,MDG,Madagascar,X,Export,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,8,kg,11101.62,FALSE,8,kg,11101.62,FALSE,11101.62,FALSE,0,FALSE,,1199.9,1199.9,0,FALSE,TRUE
C,A,2023,52,2023,454,MWI,Malawi,M,Import,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,FALSE,0,FALSE,563847.65,,563847.65,0,FALSE,TRUE
C,A,2023,52,2023,458,MYS,Malaysia,M,Import,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,FALSE,0,FALSE,173935204.611,,173935204.611,0,FALSE,TRUE
C,A,2023,52,2023,458,MYS,Malaysia,X,Export,0,W00,World,0,W00,World,H6,HS,3915,"Waste, parings and scrap, of plastics",FALSE,TOTAL CPC,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,FALSE,0,FALSE,,6438928.229,6438928.229,0,FALSE,TRUE
